timestamp,open,high,low,close,volume
2020-12-15,3.2400,3.2400,2.7600,2.8600,54432125
2020-12-14,4.0100,4.0100,3.0000,3.1900,67158976
2020-12-11,4.0400,4.2500,3.8700,3.9200,22310377
2020-12-10,3.7900,4.1000,3.7700,4.0900,19872845
2020-12-09,4.2200,4.3300,3.7500,3.8600,20991197
2020-12-08,3.6100,4.0200,3.6100,3.9800,29530632
2020-12-07,3.4500,3.7400,3.3300,3.5600,20503852
2020-12-04,3.7500,3.7600,3.3000,3.5100,33157263
2020-12-03,4.0100,4.2150,3.5000,3.6300,66080891
2020-12-02,4.0800,4.3400,3.9500,4.3200,11847629
2020-12-01,4.4300,4.4300,4.0900,4.1500,12047814
2020-11-30,4.4100,4.4500,3.9900,4.2700,16554987
2020-11-27,4.5400,4.6200,4.3600,4.4500,10097374
2020-11-25,4.5700,4.8500,4.2000,4.4900,22647306
2020-11-24,4.1600,5.0000,4.1500,4.5800,62172590
2020-11-23,3.5100,3.8500,3.4100,3.8100,31514579
2020-11-20,3.2500,3.3700,3.2100,3.3500,17088783
2020-11-19,3.1600,3.3750,3.1500,3.1900,13986442
2020-11-18,3.0800,3.3700,3.0100,3.2600,31717281
2020-11-17,3.0100,3.0400,2.9000,2.9800,22482959
2020-11-16,3.3900,3.3900,3.0500,3.1100,47604346
2020-11-13,2.9800,2.9900,2.7800,2.9700,22451870
2020-11-12,3.0700,3.0700,2.9200,2.9400,14836046
2020-11-11,3.2308,3.2400,3.0000,3.1300,24066098
2020-11-10,3.9900,4.0300,3.3400,3.5100,42129263
2020-11-09,4.2700,4.3900,3.2300,3.7700,132510953
2020-11-06,2.4300,2.6200,2.3300,2.4900,9049450
2020-11-05,2.3500,2.5700,2.2700,2.4600,8056242
2020-11-04,2.4000,2.4299,2.2401,2.3100,7609136
2020-11-03,2.3400,2.5900,2.3000,2.3400,15441929
2020-11-02,2.3000,2.3200,2.1100,2.1500,11180071
2020-10-30,2.4800,2.4900,2.2800,2.3600,11013232
2020-10-29,2.6500,2.6800,2.4800,2.5200,9019304
2020-10-28,2.6900,2.7400,2.5800,2.6100,8141103
